study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
ablation,Full HAT,167168,1,0.0005,200,-80.0494613647461,35706.385845422745,0.6300077999476343,876,33.96,123.63,178
ablation,Full HAT,167168,2,0.0005,200,-76.30194854736328,19001.04131066799,0.5193855999968946,770,17.455,75.5,180
ablation,Full HAT,167168,3,0.0005,200,-81.6363525390625,40471.725221037865,0.670547500019893,943,45.375,177.77,175
ablation,Full HAT,167168,4,0.0005,200,-80.10853576660156,39689.29306125641,0.6578136999160051,941,44.04,175.705,181
ablation,Full HAT,167168,5,0.0005,200,-76.0440673828125,48061.07554781437,0.7039102001581341,963,46.715,179.81,187
ablation,Full HAT,167168,6,0.0005,200,-80.1825180053711,40544.98596972227,0.6606596000492573,940,43.93,168.965,169
ablation,Full HAT,167168,7,0.0005,200,-79.38130950927734,39057.901461303234,0.6421091000083834,958,45.23,164.13,187
ablation,Full HAT,167168,8,0.0005,200,-76.72789764404297,15871.478171944618,0.5211891001090407,739,14.27,78.325,187
ablation,Full HAT,167168,9,0.0005,200,-78.02259063720703,40230.6321284771,0.6575428999494761,962,47.29,184.675,181
ablation,Full HAT,167181,0,0.0005,200,-90.24810028076172,36557.84775567055,0.6467460999265313,952,45.99,182.635,178
ablation,Full HAT,167181,1,0.0005,200,-89.56184387207031,39545.5956941843,0.6341765001416206,912,40.03,151.49,173
ablation,Full HAT,167181,2,0.0005,200,-91.77596282958984,41364.98845028877,0.640133999986574,936,44.44,175.6,176
ablation,Full HAT,167181,3,0.0005,200,-91.83367156982422,37860.53036749363,0.6306124001275748,954,46.005,178.75,178
ablation,Full HAT,167181,4,0.0005,200,-91.86589813232422,38044.21259224415,0.7130617999937385,933,44.14,176.025,176
ablation,Full HAT,167181,5,0.0005,200,-91.43682861328125,42926.688795268536,0.6791539001278579,959,46.105,178.68,178
ablation,Full HAT,167181,6,0.0005,200,-91.34730529785156,35039.29537177086,0.6833097999915481,910,36.48,149.37,180
ablation,Full HAT,167181,7,0.0005,200,-89.50106048583984,35129.488064825535,0.6558103999122977,947,41.66,173.74,186
ablation,Full HAT,167181,8,0.0005,200,-90.65382385253906,38544.07817482948,0.7086332000326365,959,45.76,172.0,184
ablation,Full HAT,167181,9,0.0005,200,-91.85279083251953,35687.65238261223,0.6712899999693036,945,44.23,177.98,181
ablation,Full HAT,167184,0,0.0005,200,-80.29345703125,37278.0474845171,0.6992560001090169,944,45.115,176.245,172
ablation,Full HAT,167184,1,0.0005,200,-81.07369232177734,46687.63842988014,0.6517827999778092,977,48.87,189.715,190
ablation,Full HAT,167184,2,0.0005,200,-81.72434997558594,36750.95220220089,0.6407552999444306,900,35.055,168.44,180
ablation,Full HAT,167184,3,0.0005,200,-81.9572525024414,39849.61665940285,0.6846378999762237,961,47.09,182.585,184
ablation,Full HAT,167184,4,0.0005,200,-82.3041763305664,37707.1593862772,0.6625623998697847,933,43.155,178.02,182
ablation,Full HAT,167184,5,0.0005,200,-80.62315368652344,44586.50651681423,0.7120010999497026,961,46.64,179.635,178
ablation,Full HAT,167184,6,0.0005,200,-82.6448974609375,26787.92603635788,0.5794778000563383,854,26.93,140.345,184
ablation,Full HAT,167184,7,0.0005,200,-81.88228607177734,41082.68114197254,0.6383231999352574,969,48.0,183.825,187
ablation,Full HAT,167184,8,0.0005,200,-75.7939224243164,15691.50731742382,0.5417281000409275,775,12.895,66.735,178
ablation,Full HAT,167184,9,0.0005,200,-80.29997253417969,37691.39329946041,0.6690328998956829,952,46.02,180.835,186
ablation,Full HAT,167185,0,0.0005,200,-94.7428970336914,115389.051040411,0.6496323000174016,891,27.495,86.775,179
ablation,Full HAT,167185,1,0.0005,200,-95.7359619140625,188482.188475132,0.6788441000971943,953,45.3,168.87,191
ablation,Full HAT,167185,2,0.0005,200,-96.27437591552734,178556.27064085007,0.6192065998911858,927,43.14,172.7,182
ablation,Full HAT,167185,3,0.0005,200,-95.49271392822266,166965.5826303959,0.634350199950859,946,44.725,179.655,180
ablation,Full HAT,167185,4,0.0005,200,-95.27432250976562,171179.26847839355,0.6163688998203725,931,42.36,170.68,178
ablation,Full HAT,167185,5,0.0005,200,-95.40074157714844,175032.71129322052,0.6357269999571145,948,42.92,165.22,184
ablation,Full HAT,167185,6,0.0005,200,-95.70165252685547,157349.0789256096,0.7085800000932068,916,38.91,146.46,184
ablation,Full HAT,167185,7,0.0005,200,-94.52619934082031,48481.22334313393,0.5134566000197083,705,11.285,53.225,191
ablation,Full HAT,167185,8,0.0005,200,-96.04125213623047,160721.33692097664,0.6131865999195725,938,43.335,169.285,184
ablation,Full HAT,167185,9,0.0005,200,-95.78209686279297,169042.16119885445,0.6537999000865966,958,46.41,185.195,190
ablation,Full HAT,167190,0,0.0005,200,-85.43746185302734,37377.74538362026,0.6477997999172658,927,40.585,138.145,176
ablation,Full HAT,167190,1,0.0005,200,-85.68081665039062,48729.89531683922,0.6651639000046998,941,45.265,155.835,181
ablation,Full HAT,167190,2,0.0005,200,-86.09911346435547,44596.402222156525,0.7047279998660088,926,40.95,178.575,184
ablation,Full HAT,167190,3,0.0005,200,-86.2743911743164,41126.85273039341,0.635563800111413,951,45.83,180.265,178
ablation,Full HAT,167190,4,0.0005,200,-85.70925903320312,42921.45567262173,0.599085200112313,953,45.06,184.245,182
ablation,Full HAT,167190,5,0.0005,200,-85.92584991455078,49173.727253198624,0.6843324000947177,960,46.0,177.86,178
ablation,Full HAT,167190,6,0.0005,200,-86.02803802490234,29438.76417517662,0.609912799904123,823,26.16,99.875,178
ablation,Full HAT,167190,7,0.0005,200,-86.16792297363281,41001.008189320564,0.7358211998362094,947,44.6,175.035,180
ablation,Full HAT,167190,8,0.0005,200,-84.7219467163086,39167.012736201286,0.6364839999005198,935,42.78,170.535,183
ablation,Full HAT,167190,9,0.0005,200,-85.16815948486328,42294.896001815796,0.7125901998952031,951,46.245,180.585,181
ablation,Full HAT,167200,0,0.0005,200,-69.92597961425781,87877.31832075119,0.7110469001345336,923,42.25,166.225,180
ablation,Full HAT,167200,1,0.0005,200,-72.87044525146484,105291.62646651268,0.6088097000028938,933,41.425,166.765,183
ablation,Full HAT,167200,2,0.0005,200,-72.63566589355469,102774.17691683769,0.6300721000880003,938,44.035,180.085,182
ablation,Full HAT,167200,3,0.0005,200,-69.59329223632812,52641.282454013824,0.5555046000517905,827,20.535,126.22,190
ablation,Full HAT,167200,4,0.0005,200,-75.87716674804688,93515.27888154984,0.5940127000212669,955,45.09,186.325,188
ablation,Full HAT,167200,5,0.0005,200,-72.31488037109375,93400.78103899956,0.603429300012067,914,37.405,144.62,174
ablation,Full HAT,167200,6,0.0005,200,-73.13001251220703,89594.7846057415,0.6687557999975979,941,42.625,169.76,176
ablation,Full HAT,167200,7,0.0005,200,-73.7787094116211,77126.24526619911,0.6656031000893563,912,40.16,159.98,186
ablation,Full HAT,167200,8,0.0005,200,-70.19637298583984,91579.1295683384,0.6593130000401288,950,43.845,172.63,178
ablation,Full HAT,167200,9,0.0005,200,-70.47352600097656,45243.82550954819,0.5150995999574661,799,19.79,67.615,185
ablation,Full HAT,167201,0,0.0005,200,-80.09770965576172,75977.62322974205,0.6830148999579251,944,44.925,180.62,176
ablation,Full HAT,167201,1,0.0005,200,-77.12921905517578,92159.21373414993,0.6205374000128359,948,45.255,174.685,174
ablation,Full HAT,167201,2,0.0005,200,-76.16524505615234,82404.11629915237,0.6192447000648826,934,43.435,158.15,176
ablation,Full HAT,167201,3,0.0005,200,-77.1436767578125,72266.21042990685,0.6526132000144571,925,42.94,170.205,176
ablation,Full HAT,167201,4,0.0005,200,-77.64323425292969,53970.728724718094,0.7159842001274228,837,30.77,132.93,179
ablation,Full HAT,167201,5,0.0005,200,-79.37517547607422,89562.73614001274,0.5841381999198347,942,43.19,161.66,168
ablation,Full HAT,167201,6,0.0005,200,-75.8881607055664,81400.42646765709,0.6299356000963598,963,46.295,181.545,183
ablation,Full HAT,167201,7,0.0005,200,-75.85678100585938,70893.3355307579,0.596104099880904,949,45.155,176.32,177
ablation,Full HAT,167201,8,0.0005,200,-75.59994506835938,68436.65863513947,0.7255009000655264,934,43.505,166.015,177
ablation,Full HAT,167201,9,0.0005,200,-75.39363098144531,72690.06036782265,0.6440190998837352,936,43.235,169.835,173
ablation,Full HAT,168329,0,0.0005,200,-33.13837814331055,81520.07033121586,0.6271895000245422,923,38.94,162.805,181
ablation,Full HAT,168329,1,0.0005,200,-27.72054100036621,86566.59674561024,0.5767410998232663,904,38.09,88.465,188
ablation,Full HAT,168329,2,0.0005,200,-32.565677642822266,103749.12771856785,0.6043666999321431,938,43.445,179.85,182
ablation,Full HAT,168329,3,0.0005,200,-30.203336715698242,87369.44424116611,0.6190885999239981,936,39.405,169.39,184
ablation,Full HAT,168329,4,0.0005,200,-33.98796463012695,88383.04527318478,0.6968370999675244,941,43.675,174.475,176
ablation,Full HAT,168329,5,0.0005,200,-30.658830642700195,96370.1002818346,0.6243287001270801,934,39.595,172.845,178
ablation,Full HAT,168329,6,0.0005,200,-23.773014068603516,91405.80753338337,0.6928179999813437,927,42.315,162.31,169
ablation,Full HAT,168329,7,0.0005,200,-33.573219299316406,70929.47574746609,0.6894984000828117,937,31.215,181.365,189
ablation,Full HAT,168329,8,0.0005,200,-32.235679626464844,68014.22158002853,0.6241662001702935,866,33.55,136.58,178
ablation,Full HAT,168329,9,0.0005,200,-25.04715919494629,76869.465644598,0.6742406999692321,916,34.75,154.285,187
ablation,Full HAT,168330,0,0.0005,200,-69.31592559814453,78009.91886758804,0.5982723000925034,923,39.935,162.8,181
ablation,Full HAT,168330,1,0.0005,200,-67.10614013671875,99633.54820251465,0.707141000078991,939,43.965,172.415,182
ablation,Full HAT,168330,2,0.0005,200,-66.7415771484375,98784.33014059067,0.721023199846968,934,44.09,176.595,175
ablation,Full HAT,168330,3,0.0005,200,-69.37603759765625,90649.58223748207,0.6340185001026839,946,43.125,177.14,184
ablation,Full HAT,168330,4,0.0005,200,-67.17723846435547,83105.77690315247,0.6024221999105066,920,42.36,173.415,166
ablation,Full HAT,168330,5,0.0005,200,-68.00655364990234,107863.00310826302,0.6352065000683069,955,45.73,175.275,178
ablation,Full HAT,168330,6,0.0005,200,-69.24005889892578,94763.96813201904,0.6121195999439806,942,43.855,167.455,175
ablation,Full HAT,168330,7,0.0005,200,-66.35326385498047,33085.10174393654,0.8298269000370055,777,17.34,90.77,192
ablation,Full HAT,168330,8,0.0005,200,-69.69650268554688,69528.95695114136,1.0654628998599946,894,35.065,157.7,170
