study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
ablation,No elite attraction,168329,0,0.0005,60,-30.065032958984375,6684.971140861511,0.08906970010139048,200,10.333333333333334,93.76666666666667,40
ablation,No elite attraction,168329,1,0.0005,60,-26.429649353027344,10139.25617158413,0.11055169999599457,221,12.7,108.2,51
ablation,No elite attraction,168329,2,0.0005,60,-24.71587371826172,7708.662867069244,0.08564650011248887,208,11.233333333333333,102.38333333333334,44
ablation,No elite attraction,168329,3,0.0005,60,-28.731700897216797,9697.449087262154,0.09059019992128015,212,11.683333333333334,100.43333333333334,47
ablation,No elite attraction,168329,4,0.0005,60,-24.644264221191406,6854.987952828407,0.08415829995647073,201,10.466666666666667,94.56666666666666,38
ablation,No elite attraction,168908,0,0.0005,60,-81.86426544189453,36272.19708299637,0.09330340009182692,186,9.316666666666666,84.55,35
ablation,No elite attraction,168908,1,0.0005,60,-79.81883239746094,42891.13373088837,0.08338540000841022,207,11.4,94.38333333333334,42
ablation,No elite attraction,168908,2,0.0005,60,-79.0694580078125,35511.56642818451,0.08892449992708862,196,10.35,94.21666666666667,39
ablation,No elite attraction,168908,3,0.0005,60,-80.59575653076172,50356.67827653885,0.1086623000446707,221,12.433333333333334,106.13333333333334,50
ablation,No elite attraction,168908,4,0.0005,60,-79.38069915771484,43508.526275634766,0.08686290006153286,199,10.05,89.95,36
ablation,No elite attraction,189873,0,0.0005,60,-80.27640533447266,51780.42776012421,0.09615629981271923,204,10.8,97.7,43
ablation,No elite attraction,189873,1,0.0005,60,-74.88462829589844,91862.18428707123,0.1091269999742508,228,13.3,110.0,53
ablation,No elite attraction,189873,2,0.0005,60,-80.23115539550781,57062.34360599518,0.08833719999529421,205,10.883333333333333,98.75,42
ablation,No elite attraction,189873,3,0.0005,60,-84.87250518798828,75247.58627700806,0.10413039987906814,212,11.683333333333334,100.43333333333334,47
ablation,No elite attraction,189873,4,0.0005,60,-74.27872467041016,63245.91096687317,0.09382460010237992,212,11.616666666666667,103.3,44
ablation,No burst exploration,3945,0,0.0005,60,-97.33657836914062,2252.9250893592834,0.056787800043821335,120,3.0,27.0,0
ablation,No burst exploration,3945,1,0.0005,60,-97.29006958007812,2501.168748140335,0.060105100041255355,120,3.0,16.066666666666666,0
ablation,No burst exploration,3945,2,0.0005,60,-94.67207336425781,1943.3609948158264,0.04777059983462095,120,2.0,31.0,0
ablation,No burst exploration,3945,3,0.0005,60,-96.88745880126953,2375.674744606018,0.05918850004673004,120,3.0,25.0,0
ablation,No burst exploration,3945,4,0.0005,60,-97.31707000732422,2476.779457092285,0.04993159999139607,120,3.0,31.0,0
ablation,No burst exploration,167104,0,0.0005,60,-90.45893859863281,685.6810202896595,0.057427499908953905,120,3.0,27.0,0
ablation,No burst exploration,167104,1,0.0005,60,-88.58634948730469,733.6284964680672,0.05404159985482693,120,3.0,16.066666666666666,0
ablation,No burst exploration,167104,2,0.0005,60,-84.75138854980469,636.4422657489777,0.058572900015860796,120,2.0,31.0,0
ablation,No burst exploration,167104,3,0.0005,60,-88.95791625976562,763.5538358092308,0.06239620014093816,120,3.0,25.0,0
ablation,No burst exploration,167104,4,0.0005,60,-89.3265380859375,785.0607511401176,0.050202100072056055,120,3.0,31.0,0
ablation,No burst exploration,168329,0,0.0005,60,-29.310531616210938,1579.211748600006,0.04980599996633828,120,3.0,27.0,0
ablation,No burst exploration,168329,1,0.0005,60,-16.78339958190918,1715.701121687889,0.06171490019187331,120,3.0,16.066666666666666,0
ablation,No burst exploration,168329,2,0.0005,60,-18.373889923095703,1234.5850811004639,0.05507470015436411,120,2.0,31.0,0
ablation,No burst exploration,168329,3,0.0005,60,-15.225419998168945,1847.948536992073,0.05093100015074015,120,3.0,25.0,0
ablation,No burst exploration,168329,4,0.0005,60,-22.712453842163086,1546.1669660806656,0.056343300035223365,120,3.0,31.0,0
ablation,No burst exploration,168908,0,0.0005,60,-73.29562377929688,6628.090440273285,0.05691100005060434,120,3.0,27.0,0
ablation,No burst exploration,168908,1,0.0005,60,-74.79855346679688,6997.247237205505,0.05221150000579655,120,3.0,16.066666666666666,0
ablation,No burst exploration,168908,2,0.0005,60,-70.61176300048828,4684.915299415588,0.0644693998619914,120,2.0,31.0,0
ablation,No burst exploration,168908,3,0.0005,60,-73.76387786865234,7552.59650850296,0.06427290011197329,120,3.0,25.0,0
ablation,No burst exploration,168908,4,0.0005,60,-73.05878448486328,7711.875727653503,0.05498520005494356,120,3.0,31.0,0
ablation,No burst exploration,189873,0,0.0005,60,-80.27640533447266,8649.821787834167,0.0810944999102503,120,3.0,27.0,0
ablation,No burst exploration,189873,1,0.0005,60,-74.88462829589844,9613.37591457367,0.06724989996291697,120,3.0,16.95,0
ablation,No burst exploration,189873,2,0.0005,60,-53.49244689941406,6220.873002052307,0.048692099982872605,120,2.0,31.0,0
ablation,No burst exploration,189873,3,0.0005,60,-77.36502075195312,9494.410846710205,0.06814450002275407,120,3.0,25.0,0
ablation,No burst exploration,189873,4,0.0005,60,-74.27872467041016,8334.230829238892,0.06169879995286465,120,3.0,31.0,0
ablation,No cost awareness,3945,0,0.0005,60,-98.44110107421875,8708.62793970108,0.09724520007148385,218,15.316666666666666,94.38333333333334,40
ablation,No cost awareness,3945,1,0.0005,60,-98.4668960571289,16947.012723207474,0.10856820014305413,241,23.4,80.36666666666666,52
ablation,No cost awareness,3945,2,0.0005,60,-97.8454360961914,15399.004039287567,0.09831669996492565,241,21.7,148.98333333333332,48
ablation,No cost awareness,3945,3,0.0005,60,-98.5093994140625,20082.827721595764,0.10412300005555153,246,29.166666666666668,139.11666666666667,50
ablation,No cost awareness,3945,4,0.0005,60,-98.19293975830078,8552.657138824463,0.08992010005749762,203,11.45,78.15,51
ablation,No cost awareness,167104,0,0.0005,60,-92.83413696289062,4630.486740857363,0.11243440001271665,251,29.616666666666667,135.51666666666668,43
ablation,No cost awareness,167104,1,0.0005,60,-92.41056823730469,5458.965674221516,0.0886115999892354,243,23.516666666666666,92.35,47
ablation,No cost awareness,167104,2,0.0005,60,-90.88872528076172,7383.875466823578,0.09867129987105727,248,32.8,139.0,45
ablation,No cost awareness,167104,3,0.0005,60,-91.45904541015625,4631.788559854031,0.07984860008582473,227,19.316666666666666,86.71666666666667,43
ablation,No cost awareness,167104,4,0.0005,60,-91.93004608154297,7412.3325425982475,0.1056105000898242,259,34.71666666666667,143.08333333333334,42
ablation,No cost awareness,168329,0,0.0005,60,-30.376590728759766,9677.450235843658,0.07708489987999201,227,15.016666666666667,83.01666666666667,44
ablation,No cost awareness,168329,1,0.0005,60,-25.69538116455078,10507.650863051414,0.08740769978612661,216,14.2,37.35,51
ablation,No cost awareness,168329,2,0.0005,60,-27.238513946533203,18152.429522037506,0.0979736999142915,242,29.066666666666666,139.61666666666667,45
ablation,No cost awareness,168329,3,0.0005,60,-30.203336715698242,18783.002743840218,0.1046539000235498,236,24.366666666666667,115.23333333333333,44
ablation,No cost awareness,168329,4,0.0005,60,-28.264110565185547,15330.417603135109,0.10405250010080636,245,26.083333333333332,121.6,39
ablation,No cost awareness,168908,0,0.0005,60,-81.94775390625,114966.87217855453,0.10815340001136065,245,29.416666666666668,120.58333333333333,38
ablation,No cost awareness,168908,1,0.0005,60,-82.07600402832031,141269.1906118393,0.09252690011635423,252,34.81666666666667,132.48333333333332,45
ablation,No cost awareness,168908,2,0.0005,60,-79.39112091064453,102622.14196586609,0.08952689985744655,241,28.666666666666668,131.98333333333332,36
ablation,No cost awareness,168908,3,0.0005,60,-81.1109619140625,130684.2716832161,0.10854869987815619,255,31.783333333333335,136.3,47
ablation,No cost awareness,168908,4,0.0005,60,-80.10111236572266,128093.51906871796,0.09309539990499616,244,29.616666666666667,141.41666666666666,45
ablation,No cost awareness,189873,0,0.0005,60,-82.94473266601562,187379.48810863495,0.1074280000757426,242,27.216666666666665,130.6,40
ablation,No cost awareness,189873,1,0.0005,60,-74.88462829589844,81462.82141017914,0.09372549992986023,211,13.6,52.3,53
ablation,No cost awareness,189873,2,0.0005,60,-80.65772247314453,188492.65937137604,0.09030420007184148,242,29.066666666666666,139.61666666666667,45
ablation,No cost awareness,189873,3,0.0005,60,-84.87250518798828,221228.4468574524,0.09929089993238449,236,24.366666666666667,115.23333333333333,44
ablation,No cost awareness,189873,4,0.0005,60,-74.27872467041016,105974.76383399963,0.09556429996155202,225,15.8,70.15,37
sensitivity,alpha=0,3945,0,0.0,60,-98.44110107421875,8708.62793970108,0.0928588998503983,218,15.316666666666666,94.38333333333334,40
sensitivity,alpha=0,3945,1,0.0,60,-98.4668960571289,16947.012723207474,0.09831160004250705,241,23.4,80.36666666666666,52
sensitivity,alpha=0,3945,2,0.0,60,-97.8454360961914,15399.004039287567,0.10615910007618368,241,21.7,148.98333333333332,48
sensitivity,alpha=0,3945,3,0.0,60,-98.5093994140625,20082.827721595764,0.10510120005346835,246,29.166666666666668,139.11666666666667,50
sensitivity,alpha=0,3945,4,0.0,60,-98.19293975830078,8552.657138824463,0.09687310014851391,203,11.45,78.15,51
sensitivity,alpha=0,167104,0,0.0,60,-92.83413696289062,4630.486740857363,0.10452369996346533,251,29.616666666666667,135.51666666666668,43
sensitivity,alpha=0,167104,1,0.0,60,-92.41056823730469,5458.965674221516,0.11153559992089868,243,23.516666666666666,92.35,47
sensitivity,alpha=0,167104,2,0.0,60,-90.88872528076172,7383.875466823578,0.1046732000540942,248,32.8,139.0,45
sensitivity,alpha=0,167104,3,0.0,60,-91.45904541015625,4631.788559854031,0.08986410009674728,227,19.316666666666666,86.71666666666667,43
sensitivity,alpha=0,167104,4,0.0,60,-91.93004608154297,7412.3325425982475,0.11792570003308356,259,34.71666666666667,143.08333333333334,42
sensitivity,alpha=0,168329,0,0.0,60,-30.376590728759766,9677.450235843658,0.10904350015334785,227,15.016666666666667,83.01666666666667,44
sensitivity,alpha=0,168329,1,0.0,60,-25.69538116455078,10507.650863051414,0.09242719993926585,216,14.2,37.35,51
sensitivity,alpha=0,168329,2,0.0,60,-27.238513946533203,18152.429522037506,0.09217109996825457,242,29.066666666666666,139.61666666666667,45
sensitivity,alpha=0,168329,3,0.0,60,-30.203336715698242,18783.002743840218,0.11366419983096421,236,24.366666666666667,115.23333333333333,44
