dataset,algorithm,seed,final_error,auc_log_cost
car,hyperband,9,0.0,0.0034691077107974534
car,sha,0,0.0,0.100155038546659
car,sha,1,0.0,0.4529778393351801
car,sha,2,0.0,0.3206163251696492
car,sha,3,0.0,0.05468317174515233
car,sha,4,0.0,0.45032024505708723
car,sha,5,0.0,0.00816968407861762
car,sha,6,0.0,0.4921514312096029
car,sha,7,0.0,0.3550113862873558
car,sha,8,0.0,0.0009642160957949814
car,sha,9,0.0,0.0028425412947573527
car,tpe,0,0.0,0.10379544438581831
car,tpe,1,0.0,0.45554437995573727
car,tpe,2,0.0,0.3206163251696492
car,tpe,3,0.0,0.05468317174515233
car,tpe,4,0.0,0.4504020467836257
car,tpe,5,0.0,0.009889993624411937
car,tpe,6,0.0,0.4924152486479356
car,tpe,7,0.0,0.3550113862873558
car,tpe,8,0.0,0.0011121553884711065
car,tpe,9,0.0,0.0036964670448049867
phoneme,hagfish,0,0.0553140340826115,0.1636632175705442
phoneme,hagfish,1,0.0595771689189947,0.3665772430492086
phoneme,hagfish,2,0.0656685651377795,0.3747661927991999
phoneme,hagfish,3,0.0595771689189947,0.136603648383363
phoneme,hagfish,4,0.0522444646648467,0.3231092727212272
phoneme,hagfish,5,0.0576983565306282,0.11651817537417948
phoneme,hagfish,6,0.0540081330951819,0.32862879924735733
phoneme,hagfish,7,0.0645087003898043,0.16536564692716746
phoneme,hagfish,8,0.0558532448129051,0.11885620163147845
phoneme,hagfish,9,0.0616666104988823,0.06991155206904237
phoneme,hyperband,0,0.0589565149013131,0.17089959548215053
phoneme,hyperband,1,0.0532891854547905,0.3315721811915853
phoneme,hyperband,2,0.053828396185084,0.3364445605245322
phoneme,hyperband,3,0.0558532448129051,0.13381286262533962
phoneme,hyperband,4,0.0421342634718431,0.33732307253490784
phoneme,hyperband,5,0.0466754288410339,0.11573465941671487
phoneme,hyperband,6,0.0549714105977375,0.32818224072633984
phoneme,hyperband,7,0.0577152068659498,0.1648033532082827
phoneme,hyperband,8,0.0462176613981284,0.11806000921039043
phoneme,hyperband,9,0.0517052539345532,0.07044441049038523
phoneme,sha,0,0.0605404464215504,0.16725055471669878
phoneme,sha,1,0.0541878700052798,0.3306715258416433
phoneme,sha,2,0.0546287871128635,0.32978088989534804
phoneme,sha,3,0.0546287871128635,0.13317117032349907
phoneme,sha,4,0.0522276143295251,0.33679583441129024
phoneme,sha,5,0.0462176613981284,0.10954694389395792
phoneme,sha,6,0.0501044720789943,0.3265199804857069
phoneme,sha,7,0.053828396185084,0.16170927549160818
phoneme,sha,8,0.0502027657017041,0.11363451217265685
phoneme,sha,9,0.0517052539345532,0.06704530932696881
phoneme,tpe,0,0.0550697042204473,0.17573795037025824
phoneme,tpe,1,0.0522276143295251,0.33837035536414023
phoneme,tpe,2,0.0508234197193857,0.3405844992794053
phoneme,tpe,3,0.0556903582381289,0.13384700672585984
phoneme,tpe,4,0.0522276143295251,0.34211862588204184
phoneme,tpe,5,0.0509048630067738,0.12391548313824811
phoneme,tpe,6,0.0516238106471651,0.3286757077936193
phoneme,tpe,7,0.0561312753457127,0.1678726692375464
phoneme,tpe,8,0.0474589694334917,0.12029723963353148
phoneme,tpe,9,0.0559515384356148,0.07206880674653073
vehicle,hagfish,0,0.0432844932844932,0.10799616925843504
vehicle,hagfish,1,0.0272893772893773,0.4939976542627237
vehicle,hagfish,2,0.0471306471306471,0.3032335344684012
