algorithm,instance,seed,final_best_error,total_cost
asha,126026,8,-97.53258514404295,56767.18441224098
asha,126026,9,-96.67707824707033,59697.78143376112
asha,126029,0,-93.14822387695312,56956.56883573532
asha,126029,1,-92.48506927490234,69660.45389473438
asha,126029,2,-92.5303726196289,65533.321496248245
asha,126029,3,-92.1771011352539,56642.139563679695
asha,126029,4,-94.19734954833984,57633.58439183235
asha,126029,5,-92.91399383544922,71962.45560336113
asha,126029,6,-92.66140747070312,63148.04485034943
asha,126029,7,-93.1019058227539,57581.05728638172
asha,126029,8,-92.17283630371094,57883.66064929962
asha,126029,9,-92.71143341064452,59246.69164323807
asha,146212,0,-97.9076690673828,83109.44763755798
asha,146212,1,-97.59725952148438,98869.33660697936
asha,146212,2,-97.7900161743164,88099.97547578812
asha,146212,3,-97.7749481201172,75304.05606889725
asha,146212,4,-97.6525650024414,87751.13090443611
asha,146212,5,-97.62923431396484,94527.47263526917
asha,146212,6,-97.5040283203125,84252.23422718048
asha,146212,7,-97.32270050048828,77532.37810921669
asha,146212,8,-97.0088882446289,85291.94194555283
asha,146212,9,-97.80245971679688,80496.66166734695
asha,167104,0,-92.83413696289062,31197.513820022345
asha,167104,1,-93.37223815917967,37744.77067375183
asha,167104,2,-93.05524444580078,36371.14202576876
asha,167104,3,-93.33660125732422,32741.739467054605
asha,167104,4,-92.56212615966795,34213.75370442867
asha,167104,5,-92.66533660888672,39389.55852609873
asha,167104,6,-93.90509796142578,33382.236582517624
asha,167104,7,-93.27544403076172,32432.34542348981
asha,167104,8,-92.43765258789062,30857.93230754137
asha,167104,9,-92.208740234375,30117.281638741493
asha,167149,0,-97.091552734375,34120.869457662106
asha,167149,1,-97.22335815429688,40307.98477077484
asha,167149,2,-96.46641540527344,38447.696889698505
asha,167149,3,-96.55010223388672,35052.00479263067
asha,167149,4,-97.2683334350586,38254.19742965698
asha,167149,5,-96.42552185058594,41119.75770258904
asha,167149,6,-96.64354705810548,36208.97334551811
asha,167149,7,-96.98534393310548,35015.433475375175
asha,167149,8,-96.83668518066406,32710.49489915371
asha,167149,9,-96.82586669921876,33705.792686223984
asha,167152,0,-96.76915740966795,61579.59027934074
asha,167152,1,-95.96946716308594,70002.6525657177
asha,167152,2,-96.322998046875,68762.93068695068
asha,167152,3,-96.0775375366211,64776.107169389725
asha,167152,4,-96.1723861694336,65710.19292247295
asha,167152,5,-96.05050659179688,69473.87931203842
asha,167152,6,-96.03865814208984,66061.71727478504
asha,167152,7,-96.392822265625,63342.13684117794
asha,167152,8,-96.20612335205078,59874.36193358898
asha,167152,9,-96.49913787841795,62422.2688754797
asha,167161,0,-83.62183380126953,38506.66350638866
asha,167161,1,-83.21961212158203,44875.14225912094
asha,167161,2,-84.90199279785156,43673.770938277245
asha,167161,3,-84.0370101928711,40567.813727617264
asha,167161,4,-83.74588775634766,41102.17760658264
asha,167161,5,-82.73908233642578,46471.38162302971
asha,167161,6,-86.52510833740234,41143.2936091423
asha,167161,7,-84.32913970947266,39033.58505821228
asha,167161,8,-84.37831115722656,39457.17083120346
asha,167161,9,-84.17271423339844,38188.53023517132
asha,167168,0,-80.32540893554688,44417.71975058317
asha,167168,1,-82.50079345703125,50068.330649614334
asha,167168,2,-79.40737915039062,48262.930423140526
asha,167168,3,-81.6363525390625,46247.80340516567
asha,167168,4,-81.14385986328125,46566.91815471649
asha,167168,5,-77.00384521484375,53029.17923605442
asha,167168,6,-80.1825180053711,47128.34592074156
asha,167168,7,-82.65351104736328,45643.22079819441
asha,167168,8,-80.86919403076172,43893.61915934086
asha,167168,9,-81.468505859375,43713.19669413567
asha,167181,0,-90.24810028076172,40716.86448979378
asha,167181,1,-90.9041519165039,47803.57506906986
asha,167181,2,-91.77596282958984,46451.50188946724
asha,167181,3,-91.83367156982422,42982.15118277073
asha,167181,4,-91.86589813232422,43662.05038464069
asha,167181,5,-91.43682861328124,48907.27908915281
asha,167181,6,-91.34730529785156,44654.41700720787
asha,167181,7,-90.97008514404295,41721.51350980997
asha,167181,8,-90.65382385253906,42018.26243042946
asha,167181,9,-91.85279083251952,40791.543806791306
asha,167184,0,-80.29345703125,43031.19056522846
asha,167184,1,-82.12863159179688,48562.50178360939
asha,167184,2,-81.72434997558594,49167.61137330532
asha,167184,3,-81.9572525024414,43732.96067547798
asha,167184,4,-82.3041763305664,44262.13442480564
asha,167184,5,-80.62315368652344,50330.64040219784
asha,167184,6,-82.9219970703125,45633.281061172485
asha,167184,7,-81.88228607177734,44970.52392494679
asha,167184,8,-82.9552993774414,43469.937089324
asha,167184,9,-80.29997253417969,42378.93668782711
asha,167185,0,-95.59326171875,190840.5260503292
asha,167185,1,-95.7359619140625,212883.55291986465
asha,167185,2,-96.27437591552734,209279.26324892044
asha,167185,3,-95.49271392822266,198299.06059670448
asha,167185,4,-95.68836975097656,206922.30717086792
asha,167185,5,-95.40074157714844,205263.35801029205
asha,167185,6,-95.70165252685548,204214.005256176
asha,167185,7,-95.71197509765624,201310.2589828968
asha,167185,8,-96.04125213623048,187636.3134338856
asha,167185,9,-95.86779022216795,190711.0375683308
asha,167190,0,-85.43746185302734,45226.93225419521
asha,167190,1,-85.68081665039062,53758.52918791771
asha,167190,2,-86.09911346435547,52306.15064334869
asha,167190,3,-86.2743911743164,46602.24844133854
asha,167190,4,-87.97807312011719,47246.83538854122
asha,167190,5,-85.92584991455078,55157.187287569046
asha,167190,6,-86.02803802490234,49475.8615424633
asha,167190,7,-86.16792297363281,47400.99416458607
asha,167190,8,-84.7219467163086,46289.34737384319
asha,167190,9,-85.16815948486328,46632.33956050873
asha,167200,0,-70.2061538696289,106861.17859220503
asha,167200,1,-72.87044525146484,130551.6070649624
asha,167200,2,-72.63566589355469,117392.83764195442
asha,167200,3,-73.93962860107422,110368.6276421547
asha,167200,4,-75.90884399414062,105657.09106874466
asha,167200,5,-72.31488037109375,127714.34673190115
asha,167200,6,-73.8006820678711,108616.59856581688
asha,167200,7,-73.7787094116211,104365.4259493351
asha,167200,8,-71.5810775756836,105201.59537625311
asha,167200,9,-70.58499145507812,105525.72738790512
asha,167201,0,-80.09770965576172,88157.32620596886
asha,167201,1,-77.12921905517578,104837.6136136055
asha,167201,2,-76.16524505615234,94676.82214069366
asha,167201,3,-77.1436767578125,88357.05192351341
asha,167201,4,-81.06806182861328,89787.35479664803
asha,167201,5,-79.37517547607422,106420.15906977654
asha,167201,6,-79.744873046875,89418.39901709557
asha,167201,7,-75.85678100585938,86211.25496816635
asha,167201,8,-75.59994506835938,83310.16379642487
asha,167201,9,-75.39363098144531,86696.43869805336
asha,168329,0,-33.13837814331055,104266.54870951176
asha,168329,1,-34.22782516479492,121957.4410983324
asha,168329,2,-32.565677642822266,118570.70751774313
asha,168329,3,-32.404476165771484,110256.3046194315
asha,168329,4,-33.98796463012695,104643.50638616084
asha,168329,5,-30.658830642700195,123066.71020710468
asha,168329,6,-23.77301406860352,107363.1476432085
asha,168329,7,-33.364219665527344,105391.50852715968
asha,168329,8,-32.235679626464844,103955.01978731155
asha,168329,9,-26.38965606689453,105773.75535941124
asha,168330,0,-69.40436553955078,97940.42257928848
asha,168330,1,-67.10614013671875,122428.43041992188
asha,168330,2,-66.7415771484375,112578.53564023972
asha,168330,3,-69.61268615722656,106913.423027277
asha,168330,4,-67.17723846435547,101416.42097759248
asha,168330,5,-68.00655364990234,123626.87467503548
asha,168330,6,-69.24005889892578,107430.79061031342
asha,168330,7,-69.524658203125,98381.86049485208
asha,168330,8,-69.69650268554688,100305.50337219238
asha,168330,9,-69.11851501464844,104771.36818552016
asha,168331,0,-57.79824066162109,97927.31608760355
asha,168331,1,-62.65711212158203,114143.90328025818
asha,168331,2,-62.25359344482422,107138.65704381466
asha,168331,3,-69.68720245361328,97045.03846478462
asha,168331,4,-66.1331787109375,98241.92261302473
asha,168331,5,-61.192813873291016,114266.3808940649
asha,168331,6,-64.81085205078125,104793.98213267326
asha,168331,7,-67.27587890625,96619.32086801527
asha,168331,8,-67.16241455078125,96551.13984417915
asha,168331,9,-60.93983459472656,102233.528865695
asha,168335,0,-92.9992904663086,119024.2604124546
asha,168335,1,-94.5509796142578,160070.57680344582
asha,168335,2,-93.2452392578125,138864.50758504868
asha,168335,3,-92.6878433227539,129151.804849267
asha,168335,4,-94.5458755493164,116231.34999895096
asha,168335,5,-93.76473236083984,175225.16994464397
asha,168335,6,-94.82694244384766,145699.77565145493
asha,168335,7,-94.16793060302734,115031.86134815216
asha,168335,8,-94.2805404663086,135954.38291740415
asha,168335,9,-91.5702133178711,135349.14962410927
asha,168868,0,-98.69025421142578,88746.07979822159
asha,168868,1,-98.63208770751952,108458.77325677872
asha,168868,2,-98.6545181274414,96007.96945238112
asha,168868,3,-98.63741302490234,87150.45301914215
asha,168868,4,-98.6697235107422,92315.75321757792
asha,168868,5,-98.56674194335938,112868.45382738112
asha,168868,6,-98.68151092529295,95141.69543719292
asha,168868,7,-98.57015991210938,87842.52169418335
asha,168868,8,-98.55914306640624,98611.24410784245
asha,168868,9,-98.64501190185548,90943.17461144924
asha,168908,0,-81.94775390625,643175.801558733
asha,168908,1,-82.07600402832031,723079.0536334515
asha,168908,2,-81.96611022949219,706774.4223573208
asha,168908,3,-82.6314926147461,679970.8844981194
asha,168908,4,-83.51118469238281,724392.1408572197
asha,168908,5,-81.71582794189453,695082.1151812077
asha,168908,6,-83.70742797851562,699746.9160695076
asha,168908,7,-80.68233489990234,690073.7172231674
asha,168908,8,-80.94636535644531,660970.5823535919
asha,168908,9,-80.845458984375,638519.0234661102
asha,168910,0,-71.9787826538086,183607.4876055717
asha,168910,1,-70.97161865234375,208873.48363637924
asha,168910,2,-69.600830078125,199588.01298999783
asha,168910,3,-67.5355224609375,189597.9742364884
asha,168910,4,-74.83586120605469,199322.95625305176
asha,168910,5,-71.76598358154297,202040.9141175747
asha,168910,6,-68.81704711914062,198044.145809412
asha,168910,7,-74.48965454101562,195058.82148218155
asha,168910,8,-70.9576187133789,184907.6573176384
asha,168910,9,-72.59831237792969,186702.06618237493
asha,189354,0,-74.2989730834961,439791.74736499786
asha,189354,1,-74.07568359375,555442.0288319588
asha,189354,2,-74.94775390625,513512.91276311874
asha,189354,3,-75.99397277832031,458776.26383781433
asha,189354,4,-78.42877960205078,470705.95337343216
asha,189354,5,-71.18608093261719,545071.9214890003
asha,189354,6,-77.6339340209961,426903.33601140976
asha,189354,7,-79.97158813476562,408758.1956000328
asha,189354,8,-74.34207153320312,410635.0976347923
asha,189354,9,-71.83610534667969,448583.036916256
asha,189862,0,-86.58656311035156,45790.86474919319
asha,189862,1,-87.06867980957031,53878.959919810295
asha,189862,2,-86.35932922363281,53275.44545161724
asha,189862,3,-86.20217895507812,49549.57214927673
asha,189862,4,-87.72488403320312,50112.01094555855
asha,189862,5,-87.65281677246094,55922.93981039524
asha,189862,6,-88.64344024658203,50960.76525831223
asha,189862,7,-87.0465087890625,48711.76997923851
asha,189862,8,-86.19751739501953,46468.253745794296
asha,189862,9,-86.28704071044922,46236.14132523537
asha,189865,0,-95.375,40573.81536436081
asha,189865,1,-95.37794494628906,49051.37375807762
asha,189865,2,-94.2867202758789,46266.99811625481
asha,189865,3,-94.35726928710938,42547.39558130503
asha,189865,4,-95.83417510986328,45076.05611115694
asha,189865,5,-93.89387512207033,49949.02789962292
asha,189865,6,-94.3925552368164,43831.82859647274
asha,189865,7,-95.18181610107422,42215.57288706303
asha,189865,8,-95.3540496826172,40162.79931622744
asha,189865,9,-94.15813446044922,40979.90055006743
asha,189866,0,-70.45635223388672,489402.3607468605
asha,189866,1,-75.52809143066406,630763.9265832901
asha,189866,2,-75.24515533447266,548338.7319812775
asha,189866,3,-72.68428039550781,525195.8302073479
asha,189866,4,-75.27671813964844,509395.2583293915
asha,189866,5,-70.54882049560547,599859.7498652935
asha,189866,6,-73.7454833984375,483134.068696022
asha,189866,7,-79.23670959472656,450689.9280166626
asha,189866,8,-72.82791137695312,470647.4796638489
asha,189866,9,-74.59656524658203,499099.6541032791
asha,189873,0,-83.04630279541016,1263342.521241188
asha,189873,1,-80.55374908447266,1527452.1378936768
asha,189873,2,-82.52978515625,1365945.4635891914
asha,189873,3,-86.37299346923828,1308210.2000865936
asha,189873,4,-84.31221771240234,1270546.202178955
asha,189873,5,-85.48330688476562,1524462.838084221
asha,189873,6,-77.92845153808594,1181931.9689397812
asha,189873,7,-84.34574127197266,1194091.2613744736
asha,189873,8,-85.16783142089844,1308709.8089618683
asha,189873,9,-78.62840270996094,1356143.7021141052
asha,189905,0,-93.92863464355467,29692.30833220482
asha,189905,1,-94.04240417480467,36678.95034390688
asha,189905,2,-93.92211151123048,35173.485529243946
asha,189905,3,-93.5776596069336,31908.32407861948
asha,189905,4,-92.31298065185548,32100.565947055817
asha,189905,5,-93.38987731933594,39433.92349487543
asha,189905,6,-93.90545654296876,32988.404593884945
asha,189905,7,-94.48831176757812,30183.783930838108
asha,189905,8,-91.60552978515624,30798.409357607365
asha,189905,9,-92.7428970336914,31067.44452828169
asha,189906,0,-89.79498291015625,49149.518189549446
asha,189906,1,-88.84200286865234,56455.68475735188
asha,189906,2,-88.79369354248047,54386.92226982117
asha,189906,3,-86.04397583007812,51009.3094959259
asha,189906,4,-87.71540832519531,52694.702800273895
asha,189906,5,-87.598388671875,56024.58405870199
asha,189906,6,-86.95755004882812,52750.19312632084
asha,189906,7,-89.30931091308594,49278.623728752136
asha,189906,8,-89.90449523925781,47562.12525242567
asha,189906,9,-87.8956298828125,48573.90418320894
asha,189908,0,-89.2077407836914,309275.34499287605
asha,189908,1,-90.46417236328124,346162.0018746853
asha,189908,2,-89.23871612548828,343656.3546900749
asha,189908,3,-89.2459487915039,321351.0860078335
asha,189908,4,-89.4879379272461,329833.7790994644
asha,189908,5,-88.96649169921875,326958.2017996311
asha,189908,6,-87.47781372070312,338062.01969242096
asha,189908,7,-88.73616027832031,319100.4621884823
asha,189908,8,-89.9541015625,297233.1864950657
asha,189908,9,-88.09151458740234,312236.2418167591
asha,189909,0,-78.36669158935547,60554.39770102501
asha,189909,1,-76.66091918945312,72359.84891176224
asha,189909,2,-77.81787872314453,68049.96569657326
asha,189909,3,-79.4521713256836,61585.041291594505
asha,189909,4,-78.32159423828125,61643.03589522839
asha,189909,5,-77.37025451660156,74226.28653931618
asha,189909,6,-80.06893920898438,66143.11122250557
asha,189909,7,-81.10813903808594,61597.04063081741
asha,189909,8,-78.73326873779297,60693.10739278793
asha,189909,9,-78.14024353027344,62642.09741830826
bohb,3945,0,-98.5204086303711,90456.49295592308
